,latitude,longitude
0,5.149,-24.432
1,4.975,-9.612
2,3.761,-24.448
3,-2.724,-39.833
4,-1.978,-33.492
5,--,--
6,-6.264,-15.258
7,-6.012,-17.586
8,-4.927,-12.524
9,-3.447,-5.263
10,26.8950004578,-65.7450027466
11,10.7019996643,-45.4770011902
12,9.36600017548,-32.2750015259
13,20.9349994659,-47.1850013733
14,32.8899993896,-17.607000351
15,32.1360015869,-30.4750003815
16,29.6539993286,-28.545999527
17,34.3600006104,-50.2630004883
18,30.9769992828,-37.2309989929
19,35.1500015259,-16.4979991913
20,-61.0359992981,102.524002075
21,-46.6069984436,176.753005981
22,-49.7910003662,133.076004028
23,-42.928,145.435
24,-56.1650009155,135.927001953
25,-52.7369995117,72.3450012207
26,-52.6310005188,72.4469985962
27,-32.389,57.223
28,-26.1940002441,33.6679992676
29,-40.1940002441,43.0040016174
30,-41.236,47.779
31,-37.385,24.594
32,-11.765999794,61.9510002136
33,-1.879,69.075
34,-31.2019996643,-33.3559989929
35,-29.125,-28.7539997101
36,-15.8710002899,-35.1259994507
37,-23.11,-40.354
38,-20.4850006104,-8.52999973297
39,-18.9659996033,-13.8149995804
40,-10.63,81.785
41,-47.0900001526,76.6940002441
42,-43.3160018921,105.717002869
43,-47.7999992371,149.059005737
44,-59.7849998474,176.768005371
45,-55.0279998779,119.767997742
46,-29.1420001984,60.8030014038
47,-38.7550010681,106.458999634
48,-34.9879989624,81.9250030518
49,-55.651,-140.108
50,-5.617,38.889
51,-22.9020004272,58.7540016174
52,13.4610004425,72.1050033569
53,5.91300010681,59.0410003662
54,-15.7550001144,65.4619979858
55,-1.69200003147,68.0830001831
56,-2.85400009155,62.1660003662
57,4.05499982834,53.5419998169
58,-1.13600003719,44.1010017395
59,-42.1170005798,27.968000412
60,-14.656,-2.953
61,6.24700021744,2.85100007057
62,--,--
63,--,--
64,5.96199989319,80.7170028687
65,-4.61299991608,56.1749992371
66,--,--
67,-5.88999986649,53.2980003357
68,-36.4539985657,15.8900003433
69,47.6510009766,-122.315002441
70,5.48099994659,48.9930000305
71,3.05800008774,72.8860015869
72,-7.852,107.894
73,5.36000013351,56.8149986267
74,-5.21700000763,55.9879989624
75,4.62900018692,80.4970016479
76,3.45499992371,97.0540008545
77,,
78,-48.542,-118.844
79,-44.7859992981,131.850997925
80,-49.2869987488,68.6620025635
81,-55.825,-119.864
82,-36.4010009766,45.6020011902
83,-58.2929992676,172.011993408
84,-34.516998291,52.9020004272
85,-41.091999054,57.8390007019
86,-23.3560009003,68.9179992676
87,-51.545,90.409
88,-50.0750007629,81.422996521
89,,
90,-28.5249996185,-34.3549995422
91,-33.282,-33.551
92,-33.67,7.799
93,-29.753,-46.822
94,27.866,-64.96
95,-36.251,-29.762
96,26.317,-29.02
97,--,--
98,3.16199994087,5.05200004578
99,26.2099990845,-45.7420005798
100,-39.8320007324,89.5039978027
101,-3.98,94.373
102,--,--
103,-33.6259994507,77.358001709
104,9.34200000763,-37.6920013428
105,-10.3140001297,60.6059989929
106,-42.701,12.566
107,-2.986,52.256
108,-1.31400001049,-40.2410011292
109,5.89699983597,-32.672000885
110,-19.933,-15.477
111,-34.369,56.28
112,-2.03800010681,-42.4550018311
113,-30.625,-117.708
114,,
115,18.37,-31.663
116,-3.03800010681,-2.48000001907
117,-26.95,55.559
118,34.587,16.781
119,13.4,-28.394
120,14.905,-46.924
121,--,--
122,14.5690002441,-60.3339996338
123,23.3029994965,-32.8370018005
124,-34.2900009155,-32.1819992065
125,-18.5480003357,-15.8579998016
126,-13.0039997101,-8.21899986267
127,6.17000007629,-50.2630004883
128,-1.66499996185,-43.0079994202
129,0.967999994755,-33.3040008545
130,-42.531,58.218
131,-30.2420005798,75.1920013428
132,-11.858,65.961
133,-20.3980007172,35.6899986267
134,-15.105,42.017
135,-15.2349996567,70.4980010986
136,4.965,48.725
137,-20.537,65.629
138,-16.8710002899,60.1150016785
139,-14.334,44.199
140,-6.374,75.506
141,-4.85599994659,72.266998291
142,-16.256,52.49
143,-35.3409996033,93.4899978638
144,-26.3360004425,-28.6949996948
145,-28.9880008698,-20.8799991608
146,-32.0069999695,-8.79100036621
147,-46.0709991455,80.1890029907
148,-33.71900177,40.9259986877
149,-52.7019996643,88.8799972534
150,-36.5709991455,16.7210006714
151,-1.93299996853,-15.3830003738
152,-33.775,103.372
153,-33.189,104.97
154,-19.5990009308,36.1199989319
155,-5.738,39.405
156,-35.32,46.669
157,-27.35,38.866
158,-24.378,51.978
159,-32.368,66.053
160,-18.6049995422,-9.30200004578
161,,
162,5.09499979019,-12.7849998474
163,-5.36100006104,-18.2549991608
164,4.19099998474,-12.7910003662
165,4.53900003433,-14.5389995575
166,13.6929998398,-41.7080001831
167,15.7399997711,-42.8909988403
168,16.2840003967,-32.0439987183
169,20.6130008698,-24.5849990845
170,13.436,46.502
171,9.088,65.025
172,,
173,,
174,3.655,67.675
175,--,--
176,13.961,53.341
177,8.354,64.115
178,11.487,62.562
179,-17.6760005951,-30.5559997559
180,-21.547000885,-26.7099990845
181,-26.6040000916,-2.6210000515
182,-24.8999996185,-23.7849998474
183,,
184,-29.8880004883,0.955999970436
185,-27.9290008545,-34.8409996033
186,-35.3829994202,-21.2609996796
187,-29.862,-25.904
188,31.0979995728,-37.21900177
189,36.083,-43.377
190,-19.9370002747,-6.27500009537
191,-18.502,-14.933
192,-7.69799995422,-8.94999980927
193,-5.98500013351,-35.1209983826
194,8.82299995422,-36.4179992676
195,-27.5760002136,-11.6850004196
196,-23.159,-30.082
197,-24.4990005493,-20.8159999847
198,2.981,0.628
199,7.31599998474,-28.9230003357
200,8.276,-23.886
201,6.52299976349,-35.4539985657
202,21.967,-43.577
203,-25.422,-6.405
204,-31.124,-34.562
205,-32.5429992676,-6.23299980164
206,4.421,-15.802
207,9.996,-20.645
208,-5.77699995041,-1.98699998856
209,-2.3900001049,1.16799998283
210,-34.513,-12.852
211,-32.165,-35.305
212,-30.82,-10.376
213,--,--
214,-28.0009994507,-16.452999115
215,-20.4449996948,4.99599981308
216,-18.0230007172,-3.49099993706
217,-15.1899995804,-16.4029998779
218,0.879999995232,-46.6220016479
219,4.255,-9.247
220,30.27,-29.451
221,30.254,-26.139
222,-22.466,-39.9
223,-32.675,-16.33
224,-27.651,-28.004
225,-26.725,-6.277
226,-25.2229995728,-0.677999973297
227,-18.99,-16.415
228,-13.4239997864,-30.422000885
229,16.9020004272,-24.8880004883
230,24.4230003357,-35.0190010071
231,-52.12,112.734
232,,
233,-34.382,41.333
234,-46.8790016174,43.4379997253
235,-57.004,125.391
236,-59.813,67.768
237,-63.2960014343,66.2590026855
238,-16.923,-22.326
239,-25.544,-7.74
240,-12.5570001602,-37.3269996643
241,-11.1700000763,-23.0820007324
242,31.823,-34.435
243,29.022,-29.48
244,30.235,-40.753
245,26.5,-45.0019989014
246,29.426,-48.49
247,-23.3829994202,9.32600021362
248,-28.101,-17.208
249,-42.25,4.52299976349
250,-31.726,1.774
251,-20.618,-38.737
252,-20.96,-38.273
253,-27.992,-43.613
254,-60.2579994202,35.6300010681
255,-52.3930015564,11.7430000305
256,-52.286,134.909
257,-58.746,126.724
258,-52.69,120.96
259,-53.013,161.094
260,-26.766,-32.52
261,-27.624,-32.731
262,-30.222,-25.156
263,-29.833,-22.385
264,-24.085,73.988
265,-40.912,19.773
